sentence,label
FPGS is associated with Colorectal Neoplasms,1
GDF15 is associated with Cachexia,1
"NIPAL4 is associated with DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 2",0
"ADAMTS17 is associated with Vitamin D Hydroxylation-Deficient Rickets, Type 1A",0
NEXMIF is associated with Language Development Disorders,0
"ADCY5 is associated with Ventricular Dysfunction, Left",1
CHRNB1 is associated with Vipoma,0
"EXT1 is associated with Exostoses, Multiple Hereditary",1
CHRM1 is associated with Seizures,1
RPLP2 is associated with Breast Neoplasms,1
RGS1 is associated with Complement component 5 deficiency,0
LTK is associated with Polycystic Ovary Syndrome,1
"CDKN2A is associated with Carcinoma, Hepatocellular",1
FAM234A is associated with Lafora Disease,0
AHSG is associated with IgA Deficiency,0
IL1B is associated with Urticaria,1
RAD51C is associated with Hypolipoproteinemias,0
EGR2 is associated with Hereditary Sensory and Motor Neuropathy,1
PITX3 is associated with Gallbladder Neoplasms,0
CYP19A1 is associated with Fatty Liver,1
PSEN1 is associated with Memory Disorders,1
CALCR is associated with Osteoporosis,1
"PLAU is associated with Fibromatosis, Congenital Generalized",0
FASTKD2 is associated with Cytochrome-c Oxidase Deficiency,1
AVP is associated with INTERSTITIAL LUNG AND LIVER DISEASE,0
"IL6 is associated with PROTHROMBIN DEFICIENCY, CONGENITAL",0
"MIR338 is associated with Liver Cirrhosis, Alcoholic",1
MIR93 is associated with Osteosarcoma,1
"NIPAL2 is associated with Liver Cirrhosis, Experimental",1
CDKN1A is associated with Urinary Bladder Neoplasms,1
"APC is associated with Desmoid disease, hereditary",1
NFE2L2 is associated with Clinical Deterioration,1
PRTFDC1 is associated with Mouth Neoplasms,1
"FLRT3 is associated with DEAFNESS, AUTOSOMAL RECESSIVE 29",0
ETFDH is associated with Aarskog Syndrome,0
"COMT is associated with HEARING LOSS, CISPLATIN-INDUCED, SUSCEPTIBILITY TO",1
"PRNP is associated with Insomnia, Fatal Familial",1
GZMB is associated with Drug Hypersensitivity,1
BCL11A is associated with Musculoskeletal Abnormalities,0
CCR1 is associated with Colonic Neoplasms,1
GRHL3 is associated with Colorectal Neoplasms,0
"RHO is associated with Night blindness, congenital stationary",1
HAO2 is associated with Cholestasis,1
"MIR154 is associated with Thyroid Cancer, Papillary",1
FGFR2 is associated with ICHTHYOSIS WITH CONFETTI,0
HELLS is associated with Adenocarcinoma of Lung,1
EIF2AK3 is associated with Obesity,0
"ASAP1 is associated with Arthritis, Juvenile",1
ACE is associated with MULTIPLE SYNOSTOSES SYNDROME 1,0
KDR is associated with Colorectal Neoplasms,1
DIABLO is associated with LETHAL CONGENITAL CONTRACTURE SYNDROME 5,0
"AGT is associated with Ectodermal Dysplasia 3, Anhidrotic",0
RELA is associated with INTELLECTUAL DEVELOPMENTAL DISORDER WITH PERSISTENCE OF FETAL HEMOGLOBIN,0
CARD9 is associated with Superior Vena Cava Syndrome,0
"OIP5-AS1 is associated with Amaurosis congenita of Leber, type 9",0
"CR1 is associated with Diarrhea 5, With Tufting Enteropathy, Congenital",0
CHRM2 is associated with N-acetyl glutamate synthetase deficiency,0
IGF2 is associated with Atherosclerosis,1
ADAMTSL2 is associated with Heart Valve Diseases,1
BCL2 is associated with Erectile Dysfunction,1
APOE is associated with Cerebroretinal Microangiopathy with Calcifications and Cysts,0
PTCH1 is associated with Pancreatic Neoplasms,1
HOMER1 is associated with Drug-Related Side Effects and Adverse Reactions,1
NPPA is associated with Lacrimal Apparatus Diseases,0
RIPOR2 is associated with Arachnodactyly,0
"RAB11A is associated with Anemia, Macrocytic",0
MIR127 is associated with Lung Neoplasms,1
"AFG3L2 is associated with Myoclonic Epilepsies, Progressive",1
AHR is associated with Thrombotic Microangiopathies,0
PRKCH is associated with ENCEPHALOPATHY DUE TO DEFECTIVE MITOCHONDRIAL AND PEROXISOMAL FISSION 2,0
"PLSCR1 is associated with Cataracts, Congenital, with Sensorineural Deafness, Down Syndrome-Like Facial Appearance, Short Stature, and Mental Retardation",0
"MIR152 is associated with Epidermolysis Bullosa, Junctional, Non-Herlitz Type",0
"PRDM1 is associated with MICROCEPHALY, SHORT STATURE, AND POLYMICROGYRIA WITH OR WITHOUT SEIZURES",0
AKR1A1 is associated with Autism Spectrum Disorder,1
"MAP2K1 is associated with Tumoral Calcinosis, Normophosphatemic, Familial",0
CST6 is associated with Prostatic Neoplasms,1
"PRL is associated with Mesangial sclerosis, diffuse",0
"CABP2 is associated with DEAFNESS, AUTOSOMAL RECESSIVE 93",1
"MMP1 is associated with CORPUS CALLOSUM, AGENESIS OF, WITH FACIAL ANOMALIES AND CEREBELLAR ATAXIA",0
"MTMR14 is associated with Carcinoma, Ovarian Epithelial",1
RAC2 is associated with Pallister-Hall Syndrome,0
CBX5 is associated with Colorectal Neoplasms,1
"ABCB1 is associated with Lymphoma, Large B-Cell, Diffuse",1
GUCY1A1 is associated with Salivary Gland Neoplasms,1
CCL4 is associated with Atherosclerosis,1
PIWIL2 is associated with Celiac Disease,1
MOBP is associated with Meconium Ileus,0
"CCL2 is associated with Hepatitis, Autoimmune",1
"IL1A is associated with CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2T",0
"BBS4 is associated with Cardiomyopathy, Dilated, 1CC",0
"CAT is associated with Osteoporosis, Postmenopausal",1
CRX is associated with Retinitis Pigmentosa,1
MMP26 is associated with Rectal Neoplasms,0
"MMAA is associated with Prostatic Neoplasms, Castration-Resistant",0
"MAOA is associated with SPASTIC ATAXIA 4, AUTOSOMAL RECESSIVE",0
ABCA8 is associated with Eye Abnormalities,0
MTHFR is associated with Autistic Disorder,1
CASP8 is associated with Optic Nerve Injuries,0
"CD84 is associated with Cataract, posterior polar, 3",0
MYH9 is associated with Cardiac Tamponade,0
"ADCY7 is associated with Colitis, Ulcerative",1
CP is associated with Drug-Related Side Effects and Adverse Reactions,1
NF1 is associated with Neurilemmoma,1
IGF1 is associated with Cholestasis,1
"RECK is associated with Liver Cirrhosis, Experimental",1
AOX1 is associated with Prostatic Neoplasms,1
"LEP is associated with Deafness, Autosomal Dominant 28",0
RPL13 is associated with Stomach Neoplasms,1
APOBEC3A is associated with Neoplastic Processes,1
GDF1 is associated with PREMATURE OVARIAN FAILURE 13,0
"ANGPTL6 is associated with Lung Diseases, Interstitial",0
"CXCL13 is associated with Cataract, Pulverulent, Juvenile-Onset",0
ABCB1 is associated with Peripheral Nervous System Diseases,1
"NOTCH3 is associated with ECTODERMAL DYSPLASIA 13, HAIR/TOOTH TYPE",0
"IL2 is associated with Hand Deformities, Congenital",0
"PRKDC is associated with Abortion, Habitual",0
GC is associated with Vestibular Diseases,0
CD46 is associated with Atypical Hemolytic Uremic Syndrome,1
HSPA1B is associated with Inherited Peripheral Neuropathy,0
"FGFR2 is associated with Cardiomyopathy, Familial Hypertrophic, 4",0
CST3 is associated with Oral Submucous Fibrosis,1
"S100A9 is associated with Liver Cirrhosis, Experimental",1
G6PD is associated with Malaria,1
GSTT1 is associated with Kidney Neoplasms,1
NQO1 is associated with RETINITIS PIGMENTOSA 74,0
CEP164 is associated with NEPHRONOPHTHISIS 15,1
CALCA is associated with Adenomatous Polyps,0
"MIR22 is associated with Puberty, Precocious",0
FBXO7 is associated with Chromosome 2q37 deletion syndrome,0
ALB is associated with Pain,1
AMOTL1 is associated with Glioma,1
"RAB40B is associated with Liver Cirrhosis, Experimental",1
"GIPR is associated with Osteoarthritis, Spine",0
MOGS is associated with Chondrodysplasia Punctata,0
REG1 is associated with Stomach Neoplasms,1
NQO2 is associated with Frontotemporal Dementia With Motor Neuron Disease,0
RTEL1 is associated with Congenital bilateral aplasia of vas deferens,0
"BRAF is associated with RETINAL ARTERIES, TORTUOSITY OF",0
"ATL1 is associated with HYPERALDOSTERONISM, FAMILIAL, TYPE IV",0
"CSF3 is associated with Lymphoma, B-Cell",1
BANF1 is associated with Diverticulitis,0
SAG is associated with Genitopatellar Syndrome,0
HMOX1 is associated with Hepatorenal Syndrome,1
MAFB is associated with MULTICENTRIC CARPOTARSAL OSTEOLYSIS SYNDROME,1
BCL2 is associated with Granulomatosis with Polyangiitis,0
DRAP1 is associated with Melanoma,1
MAPK3 is associated with Severe Acute Respiratory Syndrome,1
GCC1 is associated with Marijuana Abuse,1
IL1RN is associated with Atrophy,1
"HSPA1A is associated with Carcinoma, Pancreatic Ductal",1
ABCG2 is associated with Leigh Disease,0
"MIR134 is associated with Thyroid Cancer, Papillary",1
"HRH1 is associated with PARKINSON DISEASE 19A, JUVENILE-ONSET",0
OCLN is associated with Puerperal Disorders,0
CXCL12 is associated with Pfeiffer type acrocephalosyndactyly,0
LTBP2 is associated with Weill-Marchesani Syndrome,1
LAMA2 is associated with Schizophrenia,1
COL4A1 is associated with Eye Abnormalities,1
PAMR1 is associated with MASS syndrome,0
NOS3 is associated with Coronary Vasospasm,1
IFNA2 is associated with Chills,1
EHMT1 is associated with Medulloblastoma,1
HK2 is associated with Anophthalmos,0
HLA-DPB1 is associated with Berylliosis,1
"BCL6 is associated with Lymphoma, T-Cell",1
"ALOX5AP is associated with Xeroderma Pigmentosum, Complementation Group G",0
COL2A1 is associated with Strudwick syndrome,1
"ENTPD2 is associated with Liver Cirrhosis, Biliary",1
CFLAR is associated with Hodgkin Disease,1
RLBP1 is associated with Macular Degeneration,1
"PCDH19 is associated with EPIDERMOLYSIS BULLOSA, JUNCTIONAL 7, WITH INTERSTITIAL LUNG DISEASE AND NEPHROTIC SYNDROME",0
MBP is associated with Demyelinating Diseases,1
RUNX2 is associated with Cleidocranial Dysplasia,1
ADORA2A is associated with Panic Disorder,1
GSTP1 is associated with Precancerous Conditions,1
ITGB2 is associated with Brain Neoplasms,1
"HERC2 is associated with Asthma, Occupational",1
"APOE is associated with ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 13",0
MAPK1 is associated with Amyotrophic Lateral Sclerosis 11,0
HLA-DQB1 is associated with Esophageal Achalasia,1
GABRR2 is associated with Neurotoxicity Syndromes,1
RIPK3 is associated with Calcinosis,1
FIGNL1 is associated with Kidney Neoplasms,1
PADI4 is associated with Nasopharyngeal Carcinoma,1
"GRK2 is associated with ERYTHROCYTOSIS, FAMILIAL, 8",0
RYR2 is associated with FRONTOTEMPORAL DEMENTIA AND/OR AMYOTROPHIC LATERAL SCLEROSIS 1,0
FFAR3 is associated with Neuroinflammatory Diseases,1
"F2 is associated with PROTHROMBIN DEFICIENCY, CONGENITAL",1
"GC is associated with Shock, Septic",1
PLEKHG1 is associated with Tobacco Use Disorder,1
PLAT is associated with Acrocephalopolysyndactyly Type II,0
"MGMT is associated with Liver Cirrhosis, Experimental",1
MIR4721 is associated with Heart Failure,1
PRKCE is associated with Substance-Related Disorders,1
"AGER is associated with Neurofibromatosis, Familial Spinal",0
GSTT1 is associated with Chemical and Drug Induced Liver Injury,1
NR1I3 is associated with Prolidase Deficiency,0
NEU1 is associated with DIAMOND-BLACKFAN ANEMIA 17,0
"PTGS2 is associated with Xanthomatosis, Cerebrotendinous",0
MMP2 is associated with Stiff Skin Syndrome,0
"AKAP6 is associated with Ectodermal Dysplasia 3, Anhidrotic",0
C1S is associated with Complement Component C1s Deficiency,1
IER3 is associated with Arsenic Poisoning,1
KIAA0586 is associated with Short Rib-Polydactyly Syndrome,1
CCKBR is associated with Substance Withdrawal Syndrome,1
ICAM1 is associated with Peripheral Nervous System Diseases,1
PRDM16 is associated with Migraine Disorders,1
"POR is associated with Cell Transformation, Neoplastic",1
FANCD2 is associated with Rothmund-Thomson Syndrome,0
"PRKCB is associated with Chondrodysplasia Punctata, Rhizomelic",0
"CIC is associated with Charcot-Marie-Tooth Disease, Type 4j",0
CD46 is associated with COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 25,0
CLIC4 is associated with Osteoarthritis,1
"MYC is associated with Charcot-Marie-Tooth Disease, Axonal, Type 2A2",0
"HADH is associated with Neutropenia, Severe Congenital, Autosomal Dominant 1",0
FCGR3A is associated with IMMUNODEFICIENCY 20,1
MAP2K7 is associated with Lung Neoplasms,1
"EZH2 is associated with Leukemia, Megakaryoblastic, of Down Syndrome",1
"OLFML2A is associated with Carcinoma, Hepatocellular",1
"BMP10 is associated with Heart Failure, Systolic",1
"RGD1565959 is associated with Male Infertility with Large-Headed, Multiflagellar, Polyploid Spermatozoa",0
PTGS2 is associated with Glioma,1
PDE4B is associated with Ovarian Cysts,0
NOS3 is associated with Ischemic Stroke,1
LRRK2 is associated with Purine Nucleoside Phosphorylase Deficiency,0
ASPG is associated with Diabetes Insipidus,0
HES1 is associated with Mucocutaneous Lymph Node Syndrome,0
"ACSL4 is associated with Carcinoma, Hepatocellular",1
"LINC00115 is associated with Cardiomyopathy, Dilated",0
"MMP21 is associated with HETEROTAXY, VISCERAL, 7, AUTOSOMAL",1
"KRT18 is associated with Gaucher Disease, Type Iiic",0
MIR29C is associated with Heart Failure,1
"NUS1 is associated with CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Iaa",1
PPARA is associated with Neoplasm Metastasis,1
COL5A1 is associated with Neutral Lipid Storage Disease with Myopathy,0
HCLS1 is associated with CONE-ROD DYSTROPHY 9,0
LINC00115 is associated with Neoplasm Invasiveness,1
"ALB is associated with Chondrosarcoma, Mesenchymal",0
"CACNB4 is associated with Episodic Ataxia, Type 5",1
CIC is associated with Neoplasm Metastasis,1
"IL1B is associated with Drug Metabolism, Poor, CYP2C19-Related",0
CDC73 is associated with Asphyxia,0
CCL2 is associated with Phagocyte Bactericidal Dysfunction,0
HBA2 is associated with alpha-Thalassemia,1
DGCR2 is associated with Schizophrenia,1
"IL23R is associated with Colitis, Ulcerative",1
EZH2 is associated with Somatoform Disorders,0
FOXC2 is associated with Acute Coronary Syndrome,0
FKRP is associated with Cornea Plana 2,0
CASK is associated with AORTIC VALVE DISEASE 1,0
"EGR1 is associated with Hypophosphatemic Rickets, Autosomal Recessive, 2",0
CYP1B1 is associated with Glycogen Storage Disease Type VII,0
CALCA is associated with Hyperalgesia,1
MIR10A is associated with Acute Kidney Injury,1
RLN3 is associated with LONG-CHAIN 3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY,0
HHIP is associated with Hypoventilation,0
KCNAB2 is associated with Chromosome 17q21.31 Deletion Syndrome,0
INSR is associated with IMMUNODEFICIENCY 37,0
POMC is associated with Kidney Neoplasms,0
HRH3 is associated with Hypertension,1
"ACTA2 is associated with Lead Poisoning, Nervous System",0
PRSS46 is associated with Breast Neoplasms,1
PNPLA2 is associated with Venous Thromboembolism,0
INAVA is associated with Inflammatory Bowel Diseases,1
FLI1 is associated with Bohring syndrome,0
HGFAC is associated with Crohn Disease,1
"PTGS2 is associated with Aortic Aneurysm, Abdominal",1
FOXL2 is associated with Recurrence,0
"OVA is associated with Nevus, Sebaceous of Jadassohn",0
FGGY is associated with Weight Gain,1
BCL2 is associated with Sepsis,0
"CYP19A1 is associated with CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIC",0
"IGFBP6 is associated with MICROCEPHALY 11, PRIMARY, AUTOSOMAL RECESSIVE",0
PPP1R1A is associated with Heart Failure,1
"RBP4 is associated with SPASTIC PARAPLEGIA 76, AUTOSOMAL RECESSIVE",0
"PTEN is associated with Hamartoma Syndrome, Multiple",1
"F2 is associated with Charcot-Marie-Tooth disease, Type 2K",0
"H19 is associated with Bone Diseases, Developmental",0
MAOB is associated with Medulloblastoma,0
IL10 is associated with Adenoma,0
"EDN1 is associated with Cataract, Cortical, Juvenile-Onset",0
PLD5 is associated with Autistic Disorder,1
NEAT1 is associated with Prostatic Neoplasms,1
BMP4 is associated with Breast Neoplasms,1
AVPR2 is associated with Brachydactyly,0
FBXO40 is associated with Autistic Disorder,1
DNM1L is associated with Myocarditis,1
CCND1 is associated with Stomach Neoplasms,1
"CFHR3 is associated with Macular Degeneration, Age-Related, 1",1
"RETN is associated with Leukemia, Promyelocytic, Acute",1
"CST3 is associated with Leukemia, Myeloid, Acute",1
GJA8 is associated with Cataract microcornea syndrome,1
"MET is associated with ASTHMA-RELATED TRAITS, SUSCEPTIBILITY TO, 5",0
"CEBPA is associated with Leukemia, Myeloid, Acute",1
IL6RA is associated with Heat Stroke,1
GABRG2 is associated with SPERMATOGENIC FAILURE 17,0
PRKN is associated with Chondroblastoma,0
PWRN1 is associated with Prader-Willi Syndrome,1
RAG2 is associated with Combined Cellular And Humoral Immune Defects With Granulomas,1
"MET is associated with Disease Models, Animal",1
G6PD is associated with NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 4,0
HMGCR is associated with CDKL5 deficiency disorder,0
MSLN is associated with Cholangiocarcinoma,1
CXCL8 is associated with Ankylosis,0
HOXD11 is associated with Water Intoxication,0
DCC is associated with Esophageal Neoplasms,1
"CIDEA is associated with ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 13",0
"PDX1 is associated with Charcot-Marie-Tooth disease, Type 2F",0
"POMC is associated with Carcinoma, Renal Cell",1
"PRL is associated with Pregnancy Complications, Cardiovascular",1
GSTM1 is associated with Atherosclerosis,1
GCC1 is associated with Phencyclidine Abuse,1
"RAI1 is associated with Craniometaphyseal Dysplasia, Autosomal Dominant",0
"PTPN11 is associated with CEROID LIPOFUSCINOSIS, NEURONAL, 11",0
"PPARA is associated with Encephalomyelitis, Autoimmune, Experimental",1
"MUC2 is associated with GRANULOMATOUS DISEASE, CHRONIC, AUTOSOMAL RECESSIVE, 3",0
CS is associated with Obesity,1
PTEN is associated with Lipomatosis,1
DSCAM is associated with Neurodevelopmental Disorders,1
"NF1 is associated with Hyperostosis, Cortical, Congenital",0
GPX2 is associated with Neoplasm Metastasis,1
"IL17F is associated with Dementia, familial Danish",0
F32D8.8 is associated with Infertility,1
ARG2 is associated with Prostatic Neoplasms,1
"PMCH is associated with Anemia, Hypoplastic, Congenital",0
ATXN3 is associated with Pneumoconiosis,0
"ADORA2A is associated with CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIi",0
ADAMTS19 is associated with Heart Valve Diseases,1
MIR152 is associated with Breast Neoplasms,1
"CYP3A5 is associated with Hypoproteinemia, Hypercatabolic",0
"COQ7 is associated with COENZYME Q10 DEFICIENCY, PRIMARY, 8",1
"GRIA3 is associated with Spastic Paraplegia 31, Autosomal Dominant",0
"ACD is associated with Rhabdomyosarcoma, Embryonal",0
MAPT is associated with Aortic Dissection,0
ADH1B is associated with Pharyngeal Neoplasms,1
"ITGA8 is associated with Genital Diseases, Male",0
REN is associated with Fetal Growth Retardation,1
"PTI is associated with Blood Loss, Surgical",1
KAT6B is associated with Hereditary Angioedema Type III,0
ABCA12 is associated with Colorectal Neoplasms,1
"CNR1 is associated with Hypospadias 2, X-Linked",0
"ABCD4 is associated with Metabolism, Inborn Errors",1
"ID1 is associated with Mammary Neoplasms, Experimental",1
IL7 is associated with COVID-19,1
IL1B is associated with Heat Stroke,1
EPO is associated with Anemia,1
PTBP1 is associated with Gallbladder Neoplasms,0
"APOE is associated with Gaucher Disease, Type Iiic",0
CIC is associated with Dihydropyrimidinase Deficiency,0
CFL2 is associated with Familial apoceruloplasmin deficiency,0
HOXD3 is associated with Prostatic Neoplasms,1
EPO is associated with Amyotrophic Lateral Sclerosis 9,0
"C8G is associated with Liver Cirrhosis, Experimental",1
"KCTD1 is associated with Sarcoma, Synovial",0
GSN is associated with Acute Coronary Syndrome,1
EPHA2 is associated with Disease Progression,1
COL3A1 is associated with Liver Diseases,1
NPY1R is associated with Stomach Neoplasms,0
"GSTCD is associated with CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIj",0
"AZGP1 is associated with Vasospasm, Intracranial",0
GSTM1 is associated with Autism Spectrum Disorder,1
PGM5 is associated with Congenital adrenal hyperplasia due to 11-Beta-hydroxylase deficiency,0
FAS is associated with Arginine-Glycine Amidinotransferase Deficiency,0
"MS4A4A is associated with Arthritis, Juvenile",1
IMMP2L is associated with COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 6,0
"CYP2A13 is associated with Lamellar ichthyosis, type 2",0
ASNS is associated with ASPARAGINE SYNTHETASE DEFICIENCY,1
GPDH1 is associated with Parkinson Disease,1
CXCL8 is associated with COVID-19,1
HNRNPR is associated with Breast Neoplasms,1
"MIR26A1 is associated with Arthritis, Experimental",1
MMP2 is associated with Pelger-Huet Anomaly,0
MAD2L1 is associated with Esophageal Squamous Cell Carcinoma,1
PRKDC is associated with Poisoning,1
PTGS2 is associated with Urinary Bladder Neck Obstruction,1
FCER1A is associated with Drug Eruptions,1
PON1 is associated with Coronary Vasospasm,1
AUTS2 is associated with Low Back Pain,0
"ATCAY is associated with FANCONI ANEMIA, COMPLEMENTATION GROUP Q",0
"LAMC1 is associated with Ciliary Dyskinesia, Primary, 13",0
BMI1 is associated with Glioma,1
AGT is associated with Nemaline Myopathy 7,0
LPAR1 is associated with Prostatic Neoplasms,1
DNAJC6 is associated with Chromosome 17q21.31 Deletion Syndrome,0
"DYNC1H1 is associated with Czech dysplasia, metatarsal type",0
NOP56 is associated with Stomach Neoplasms,1
GABRB2 is associated with Neurodevelopmental Disorders,1
EMSY is associated with Ribose 5-Phosphate Isomerase Deficiency,0
"DYNC1I1 is associated with Aging, Premature",0
"CBLB is associated with Encephalomyelitis, Autoimmune, Experimental",1
CEBPB is associated with Brain Injuries,1
IL18 is associated with BARAITSER-WINTER SYNDROME 2,0
CCDC134 is associated with Precancerous Conditions,1
"HBB is associated with Myasthenic syndrome, congenital, postsynaptic slow-channel",0
APEX1 is associated with Adenocarcinoma of Lung,1
"KRT1 is associated with Hyperkeratosis, Epidermolytic",1
ABCB1 is associated with Hematologic Neoplasms,1
LEPR is associated with Chromosome 17 deletion,0
ABCC5 is associated with Retinitis Pigmentosa 9,0
AKT2 is associated with Adenocarcinoma,1
IQSEC2 is associated with Epilepsy,1
"EDAR is associated with Ectodermal Dysplasia 3, Anhidrotic",1
RHPN1-AS1 is associated with Prostatic Neoplasms,1
BRAF is associated with Usher Syndromes,0
PRICKLE2 is associated with Perisylvian syndrome,0
CIITA is associated with HYPOGONADOTROPIC HYPOGONADISM 9 WITH OR WITHOUT ANOSMIA,0
"ANKRD9 is associated with Arthritis, Juvenile",1
DAPK1 is associated with Salivary Gland Neoplasms,1
HP is associated with Nasal Obstruction,0
CYP2C9 is associated with Lipoid congenital adrenal hyperplasia,0
DMPK is associated with Spinocerebellar ataxia 28,0
PFKM is associated with Glycogen Storage Disease Type VII,1
MAOB is associated with Autistic Disorder,1
HOXD9 is associated with Colorectal Neoplasms,1
"APOA1 is associated with PREGNANCY LOSS, RECURRENT, SUSCEPTIBILITY TO, 1",0
CCL2 is associated with Metabolic Syndrome,1
DRD3 is associated with Movement Disorders,1
PON1 is associated with Cardiovascular Diseases,1
"HSD11B2 is associated with Mineralocorticoid Excess Syndrome, Apparent",1
HAMP is associated with Agenesis of Cerebellar Vermis,0
EFNB1 is associated with Hyperlipoproteinemia Type V,0
"CDH1 is associated with Mammary Neoplasms, Animal",1
GSR is associated with Parkinsonian Disorders,1
CDKN3 is associated with Uncombable hair syndrome,0
IFNG is associated with Autoimmune Diseases of the Nervous System,0
CHD4 is associated with Intracranial Hemorrhages,0
KPNA2 is associated with Adenocarcinoma of Lung,1
ARSE is associated with Autism Spectrum Disorder,1
NR1I3 is associated with Chondroma,0
PLIN2 is associated with Nasal Polyps,0
"MTHFR is associated with Sensory ataxic neuropathy, dysarthria, and ophthalmoparesis",0
CRP is associated with Coronary Artery Disease,0
IL10 is associated with Phyllodes Tumor,0
CBR1 is associated with Autoimmune Diseases,0
RPL4 is associated with CATARACT 38,0
"LPA is associated with SEIZURES, BENIGN FAMILIAL INFANTILE, 2",0
"MIR204 is associated with Deafness, Autosomal Recessive 23",0
LACTB is associated with LEUKOENCEPHALOPATHY WITH ATAXIA,0
"CSF3 is associated with Hyperlipidemia, Familial Combined",0
"F5 is associated with Vasospasm, Intracranial",0
"IRAK4 is associated with Lupus Erythematosus, Systemic",1
MIR654 is associated with Beta ketothiolase deficiency,0
"PRDM1 is associated with ALCOHOL SENSITIVITY, ACUTE",0
PARK is associated with Beta-Hydroxyisobutyryl CoA Deacylase Deficiency,0
EFEMP1 is associated with Pancreatic Neoplasms,1
"IGF2 is associated with INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 41",0
KIF5C is associated with Microcephaly,1
ANGPTL4 is associated with Fatty Liver,1
"AHR is associated with Hypertrophy, Left Ventricular",1
"MIR340 is associated with Liver Neoplasms, Experimental",1
ESD is associated with Pitt-Hopkins syndrome,0
GH1 is associated with Pleurisy,0
"DPEP1 is associated with Microcephaly, Primary Autosomal Recessive, 4",0
ATF5 is associated with Hypospadias,0
PWRN1 is associated with Central Nervous System Diseases,0
IL10 is associated with Schizencephaly,0
"MYO1A is associated with CONGENITAL HEART DEFECTS, MULTIPLE TYPES, 4",0
"CD99 is associated with Chondrosarcoma, Mesenchymal",1
GSR is associated with Anemia,1
GOPC is associated with Melanoma,1
PLG is associated with Drug-Related Side Effects and Adverse Reactions,1
"CPM is associated with Polyglucosan Body Disease, Adult Form",0
CHRNA3 is associated with Lung Neoplasms,1
FGGY is associated with Obesity,1
"IRF8 is associated with Arthritis, Rheumatoid",1
"RPS19 is associated with Anemia, Diamond-Blackfan",1
MYC is associated with Carcinoma,1
AVP is associated with Inappropriate ADH Syndrome,1
"CYBB is associated with Granulomatous Disease, Chronic",1
RRM1 is associated with Myopathy with lactic acidosis and sideroblastic anemia,0
PMS2 is associated with Congenital disorder of glycosylation type 2A,0
MMP21 is associated with Waardenburg syndrome type 2A,0
"DNAAF4 is associated with Infertility, Male",1
MIR345 is associated with Liver Cirrhosis,1
MMP9 is associated with Neointima,1
"ID4 is associated with Deafness, Autosomal Dominant 20",0
ARL6 is associated with Cochlear Diseases,0
PRLR is associated with Endometriosis,1
CD3D is associated with Cholangitis,0
BECN1 is associated with Muscle Hypertonia,0
MIR92A1 is associated with Bjornstad syndrome,0
CLN6 is associated with Familial cylindromatosis,0
"AP1S2 is associated with Optic Atrophies, Hereditary",0
"ALPG is associated with Abortion, Spontaneous",1
IL7 is associated with Insulin Resistance,1
"MIR380 is associated with POROKERATOSIS 9, MULTIPLE TYPES",0
"GHRL is associated with Esophagitis, Peptic",0
NDRG2 is associated with Cataract,1
"ADGRE1 is associated with Mental Retardation, X-Linked 9",0
"OXT is associated with Spondyloepiphyseal dysplasia, congenita",0
"GHR is associated with Short Stature, Idiopathic, Autosomal",1
BAP1 is associated with Neuroendocrine Tumors,1
SBNO1 is associated with Congenital bilateral aplasia of vas deferens,0
H2-T23 is associated with Glucose Metabolism Disorders,0
"RBM10 is associated with Pituitary Hormone Deficiency, Combined, 1",0
CTSK is associated with Methylmalonic aciduria cblB type,0
"MIR29C is associated with Nystagmus, Congenital",0
EPO is associated with Neoplasm Invasiveness,1
"PEX26 is associated with Corneal Dystrophy, Juvenile Epithelial of Meesmann",0
NFE2L2 is associated with Phosphoglycerate Kinase 1 Deficiency,0
ERCC1 is associated with MASS syndrome,0
MSMB is associated with Coronavirus Infections,0
HNF1A is associated with Coronary Disease,1
"CIT is associated with MICROCEPHALY 17, PRIMARY, AUTOSOMAL RECESSIVE",1
CHD4 is associated with Genetic Predisposition to Disease,1
MDM2 is associated with HIV Infections,1
MIR874 is associated with Neoplasm Invasiveness,1
"PROCR is associated with Carcinoma, Basal Cell",1
ITK is associated with Hyperlipidemias,0
PRNP is associated with Calcinosis,0
MLYCD is associated with TERMINAL OSSEOUS DYSPLASIA,0
B2M is associated with Waardenburg syndrome type 2A,0
CYP11B2 is associated with CD59 Deficiency,0
"RAB1B is associated with Invasive Pneumococcal Disease, Recurrent Isolated, 2",0
GTF2I is associated with Nausea,0
